Iteracion,Punto_P10,Punto_P11,Punto_P12,Punto_P13,Punto_P14,Punto_P15,Punto_P16,Punto_P17,Punto_P18,Punto_P19,Punto_P2,Punto_P20,Punto_P21,Punto_P3,Punto_P4,Punto_P5,Punto_P6,Punto_P7,Punto_P8,Punto_P9,AntenaA,AntenaB,AntenaC,AntenaD
16,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-47.0,-54.0,-57.0,-55.0
4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-46.0,-62.0,-51.0,-52.0
11,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-62.0,-74.0,-49.0,-50.0
13,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-51.0,-68.0,-54.0,-55.0
6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-67.0,-51.0,-48.0,-52.0
2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-67.0,-66.0,-42.0,-52.0
2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-59.0,-72.0,-45.0,-38.0
8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-57.0,-70.0,-64.0,-72.0
21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-56.0,-60.0,-49.0,-51.0
5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-53.0,-66.0,-62.0,-69.0
12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-53.0,-68.0,-62.0,-70.0
10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-65.0,-51.0,-49.0,-49.0
21,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-65.0,-67.0,-22.0,-49.0
17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-46.0,-62.0,-55.0,-58.0
17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-49.0,-50.0,-58.0,-50.0
17,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-56.0,-59.0,-58.0,-49.0
13,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-64.0,-68.0,-39.0,-50.0
17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-56.0,-70.0,-68.0,-66.0
15,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-62.0,-69.0,-34.0,-65.0
12,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-61.0,-76.0,-41.0,-41.0
5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-60.0,-70.0,-57.0,-61.0
21,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-61.0,-68.0,-55.0,-42.0
17,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-60.0,-57.0,-57.0,-62.0
2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-61.0,-78.0,-49.0,-49.0
1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-60.0,-61.0,-58.0,-61.0
3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-47.0,-66.0,-56.0,-62.0
13,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-58.0,-77.0,-49.0,-49.0
13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-57.0,-69.0,-62.0,-67.0
4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-65.0,-70.0,-45.0,-54.0
18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-55.0,-56.0,-45.0,-50.0
2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-72.0,-50.0,-47.0,-51.0
6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-47.0,-57.0,-58.0,-57.0
17,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-61.0,-66.0,-39.0,-50.0
5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-47.0,-49.0,-56.0,-50.0
17,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-53.0,-67.0,-53.0,-56.0
16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-46.0,-61.0,-50.0,-56.0
10,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-59.0,-67.0,-48.0,-38.0
10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-49.0,-66.0,-61.0,-58.0
14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-58.0,-52.0,-47.0,-51.0
3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-68.0,-64.0,-23.0,-50.0
21,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-61.0,-74.0,-50.0,-50.0
11,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-60.0,-77.0,-34.0,-62.0
11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-48.0,-64.0,-59.0,-58.0
17,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-64.0,-67.0,-49.0,-47.0
4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-46.0,-48.0,-54.0,-50.0
2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-56.0,-51.0,-58.0,-50.0
16,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-55.0,-66.0,-56.0,-51.0
15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-57.0,-57.0,-47.0,-52.0
15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-49.0,-62.0,-52.0,-59.0
19,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-50.0,-67.0,-53.0,-54.0
9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-58.0,-65.0,-57.0,-66.0
10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-52.0,-68.0,-63.0,-68.0
3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-49.0,-49.0,-56.0,-47.0
21,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-57.0,-78.0,-47.0,-46.0
14,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-63.0,-67.0,-50.0,-47.0
7,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-67.0,-63.0,-23.0,-51.0
14,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-62.0,-68.0,-33.0,-62.0
9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-65.0,-67.0,-48.0,-48.0
14,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-63.0,-66.0,-39.0,-49.0
14,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-51.0,-69.0,-53.0,-55.0
18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-48.0,-62.0,-49.0,-57.0
17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-56.0,-53.0,-47.0,-51.0
1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-63.0,-69.0,-41.0,-48.0
11,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-65.0,-69.0,-50.0,-46.0
8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-56.0,-70.0,-49.0,-45.0
13,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-58.0,-70.0,-48.0,-46.0
0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-48.0,-67.0,-56.0,-62.0
14,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-60.0,-75.0,-43.0,-44.0
4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-56.0,-70.0,-47.0,-44.0
0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-58.0,-59.0,-46.0,-51.0
15,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-62.0,-78.0,-52.0,-41.0
